City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
310,Aldan,100,RU,1666232544,93,58.6031,125.3894,23.07,11.3
311,Durban,54,ZA,1666232444,89,-29.8579,31.0292,71.02,1.01
312,Katherine,33,AU,1666232545,52,-14.4667,132.2667,91.72,5.75
313,Fairbanks,100,US,1666232545,91,64.8378,-147.7164,36.82,0.0
314,Saint-François,98,FR,1666232457,94,46.4154,3.9054,59.68,3.44
315,Soavinandriana,66,MG,1666232546,77,-19.1667,46.7333,55.78,4.43
316,Altayskoye,100,RU,1666232546,55,51.9533,85.3325,39.09,6.02
317,Point Pedro,100,LK,1666232547,79,9.8167,80.2333,80.69,3.83
318,Mossamedes,15,AO,1666232547,89,-15.1961,12.1522,62.6,7.31
319,Buchanan,97,LR,1666232548,91,5.8808,-10.0467,75.29,2.42
320,Lānja,40,IN,1666232548,91,16.85,73.55,74.48,2.24
321,Disna,19,BY,1666232549,92,55.568,28.1971,33.73,9.51
322,Alugan,100,PH,1666232549,83,12.2188,125.4808,80.58,11.83
323,Poso,55,ID,1666232550,63,-1.3959,120.7524,86.72,4.21
324,Berlevåg,75,NO,1666232550,86,70.8578,29.0864,33.8,39.12
325,Tuatapere,96,NZ,1666232551,83,-46.1333,167.6833,49.48,16.51
326,Aklavik,100,CA,1666232551,93,68.2191,-135.0107,26.2,6.13
327,Zolochiv,26,UA,1666232552,94,49.806,24.8944,37.74,10.42
328,Mosquera,100,CO,1666232473,94,4.7059,-74.2302,55.49,2.3
329,Saint-Ambroise,22,CA,1666232552,95,48.5501,-71.3324,40.59,3.6
330,Buala,92,SB,1666232553,69,-8.145,159.5921,85.66,5.77
331,Huambo,100,AO,1666232553,84,-12.7761,15.7392,61.61,2.39
332,Acapulco de Juárez,100,MX,1666232364,83,16.8634,-99.8901,78.62,6.91
333,Nikolskoye,89,RU,1666232554,93,59.7035,30.7861,33.69,4.43
334,Zeya,86,RU,1666232554,46,53.75,127.2667,41.81,4.97
335,Khovd,100,MN,1666232555,49,48.0056,91.6419,34.45,2.15
336,Makakilo City,100,US,1666232555,89,21.3469,-158.0858,73.98,8.05
337,Kavaratti,49,IN,1666232556,80,10.5669,72.642,80.53,10.76
338,Trincomalee,100,LK,1666232556,79,8.5711,81.2335,80.06,14.76
339,Neyshabur,0,IR,1666232557,61,36.2133,58.7958,52.92,1.16
340,Vao,94,NC,1666232557,63,-22.6667,167.4833,71.15,17.54
341,Geraldton,100,AU,1666232413,64,-28.7667,114.6,70.21,10.36
342,Pedasí,42,PA,1666232558,85,7.5333,-80.0333,77.07,8.05
343,Bonoua,58,CI,1666232558,92,5.2741,-3.595,78.42,4.32
344,Kumul,53,CN,1666232558,44,42.8,93.45,52.29,3.31
345,Griffith,0,US,1666232436,53,41.5284,-87.4237,40.89,6.91
346,San Policarpo,100,PH,1666232559,84,12.1791,125.5072,80.47,11.92
347,Westport,20,US,1666232559,62,41.1415,-73.3579,52.75,9.22
348,Kiryat Gat,96,IL,1666232419,72,31.61,34.7642,69.4,0.85
349,Rovinj,30,HR,1666232560,73,45.08,13.64,63.09,8.25
350,Union,0,US,1666232560,68,40.6334,-74.2663,52.9,6.91
351,Halifax,100,CA,1666232523,96,44.6453,-63.5724,64.29,9.22
352,Ardakān,0,IR,1666232561,37,32.31,54.0175,61.36,2.17
353,Ngunguru,62,NZ,1666232561,52,-35.6167,174.5,64.2,13.29
